movie,review_title,review,review_rating
Aparajito,Better as a movie than the first one.,"Overall this movie was a better made one than the first movie out of the trilogy; ""Pather Panchali"". Seems like they had a bigger budget to spend this time, which really helps this movie. The story flows also better and is overall more interesting one this time as well, in my opinion.The first movie was still mostly one about growing up, while this one is more a coming-of-age story. It has less sidetracks and characters to distract from the main plot-line, which again is kept as simple as possible. It's why it works out well, though in the end some things fall kind of short, since they don't feel all that likely. It's because this movie took more of a cinematic approach to things, so the story and all of its emotions and drama are also being put on a bit thick. In that regard alone this movie is being a bit weaker and less effective than the first one.Nevertheless, the overall story still flows better and is more pleasant to follow. It definitely helps with this that the story was just more interesting to follow. Director Satyajit Ray inserted some experience he had on his own during his life in this movie as well, though the source material is still being based on the novel written by Bibhutibhushan Bandyopadhyay. This movie is actually being a combination of the last part of the first novel and the first half of the second one. The third movie out of the trilogy, ""Apur Sansar"", wraps up the all of the stories.Technically this is a better made movie but it's also a great looking one as well, visually. This time the movie for large part gets also set in the big town, which is a quite beautiful sight and captures what life must had been like for the average struggling citizen back then, in India.A nice done drama.8/10http://bobafett1138.blogspot.com/",8/10
Charlie,Cliché with new toppings,"The movie starts with an independent woman from Bangalore who wants to live a life on her terms and then life takes her for a ride where she becomes anxious about a never met guy and his life and ultimately falls in love with a vagabond hero. The movie is still clichéd with old chemistry where girl falls in love with jobless,down to the earth,fun loving,jovial protagonist.What makes this movie differ is its making and toppings of new generation characters who are all yo-yo(as they call now). We see woman protagonist whether that maybe Tessa or Kani falling in love. The music and BGM scores well with apt situation. There are many clichés 1.Hero-Heroine meets at the start but never sees,again & again Hero Heroine comes across but they don't meet until the last. 2.The independent woman becomes so much like other woman wanting to fall in love with jobless hero ;) 3.Hero helping everyone without thinking of anything The frames,music and lively attitude of the whole movie makes it so much expressive. Director,cinematographer,music,music director and actors added to the clichéd script making it good.Dulqer and Parvathy along with others did a fantastic acting.",7/10
Kaithi,A Hollywood Remake converted into a 'Blockbuster A Grade Action Drama' in Tamil Cinema.,"Kaithi (2019) :
Brief Review -A Hollywood Remake converted into a 'Blockbuster A Grade Action Drama' in Tamil Cinema. Among all the South Action films i have seen till date whether it is on Television or on Mobile, most of them had insensible and unreasonable action sequences to please masses therefore i don't have much interest to watch such films. Somehow, Kaithi made it to my watchlist because of High Rating in IMDb and Bollywood Remake announcement. Now i can say that, Yes, South can make Sensible Action Films with right contect, well executed Action sequences and perfect emotional touch. Kaithi is a fine example of A Grade Action Film (not a thriller at all) which is far far away from those unrealistic and non sense action flicks where any thin hero could take on 40 healthy villains and make them fly high with unseen hidden punches. Apart from Action Kaithi also takes care of proper plotting from the start to the end having all the conflicts at right places. The leading role is amazingly portrayed by Karthi. He was into the character from the first scene and never took it out of him whether it is action sequence or emotional scene. It would be hard for me to forget his image and see Ajay Devgn in Bollywood Remake even though Ajay Devgn is a Great Actor. Rest of the cast is okay but no effective impact from anyone. Lokesh Kanagraj direction is matured which is rare in this genre because he kept the essence and content alive. He did not fall apart for adding comedy and make it just another masala film, rather he made it thrilling which is rare. And despite little dark tone the film became a Blockbuster success which proves that Director's vision to make an original flick in an unoriginal genre was right. Finally a relief from senseless Action flicks in South Indian cinema since Bahubali and KGF.RATING - 7/10*By - #samthebestest",7/10
A Separation,What's wrong is wrong ... but what's wrong?,"Greetings again from the darkness. This one finally made it to Dallas and it's now clear why it is not only the Oscar favorite for Best Foreign Language Film, but also received a Best Original Screenplay nomination. It's truly that good ... and powerful ... and thought provoking. I caught myself changing my mind more than once on some of the issues these characters faced.The film opens with Nader and Simin (Peyman Moadi and Leila Hatami) in front of a judge to determine if they will be granted a divorce. Simin wants to take their daughter Termeh (Sarina Farhadi, the director's daughter) to study abroad. Nader doesn't disagree with the plan, only the timing. He refuses to leave his Dad, who suffers from Alzheimer's, alone in Iran. In a poignant moment, Nader points out that while his dad may not know him, he still certainly knows his dad. This is the first of a recurring theme throughout ... there are numerous ways to look at every issue.When Simin moves in with her mother, Nader hires Razieh (Sareh Bayat) to be his dad's caregiver. After a few days, Nader and Razieh have a heated argument and he pushes her out of the apartment. Next thing he knows, she is in the hospital after a miscarriage. She files a claim saying Nader pushed her down the stairs causing the miscarriage. The core of the story is the actions of the key characters during the inquisition by the judge/inspector. Nothing seems clear cut and each character's recall and statements vary from moment to moment.A key point is that these are all basically good and moral people. Muslim believers in various stages. None would purposefully sin, yet each is trying to protect something or someone. The script is fascinating in its detail and subtlety. It moves like real life rather than a movie trying to get crammed into a 2 hour window. Written and directed by Asghar Farhad, the film deserves all accolades and acclaim. Let's hope it finds an audience in the U.S. We could certainly use more stories and films like this.",8/10
Good Will Hunting,Manipulative and Heartwarming,"SPOILERS. I can see why this project was greenlighted. It's got everything a Hallmark feature should have -- plus profanity. A love story between a brilliant lower-class boy and a young girl at Harvard. (In the original ""Love Story"" it was more or less the other way around.) A tortured boy barely out of his teens who is a miscreant and unable to expose himself to others and who is not ""in touch with his feelings."" (I've always wondered how you get in touch with your feelings.) Well, it's worked dozens of times before -- ""Blood Brothers,"" ""David and Lisa,"" inter alia. In this instance he's wary of others because he was abused as a child; cf., any of two or three dozen Lifetime Movies for Women. A very human but somewhat remote academic mentor, and a warm, humanistic, unpretentious bearded shrink, as in ""Ordinary People."" A score that tells us when we're supposed to laugh and when we're supposed to tear up. Good, evocative location shooting in Boston. Is Will Hunting going to be able to overcome his fear of commitment, leave Beantown, and find himself emotionally and intellectually? (How do you find yourself?) We viewers want him so badly to choose the right path, which we can discern amidst the murky and myriad possibilities even if he can't, that we feel like we're watching someone trying to shove a boulder and we find ourselves sitting in our seats and humping along with him. Does he make the right choice? Does a bear hibernate in the winter?Well, I'm sorry. I kind of enjoyed the first half hour or so, when Will Hunting's genius is being finally and painfully uncovered. It was kind of confusing though, in a technical sense. Mathematics is one of those creative talents that appears at an early age, rather like genius in music. It tends to peter out in early adulthood. (If you haven't made it as a professional mathematician by the time you're twenty-five you're considered over the hill in academia.) In other words, mathematical genius has a life course of its own, almost, but not quite, independent of what is generally recognized as ""intelligence."" But Matt Damon, as Will Hunting, not only has this isolated talent, but something that resembles a photographic memory as well. He's remembered practically everything he's ever read, which is practically everything ever written, from law to organic chem, although we never see him reading a book. If a kid in my working-class neighborhood ever was caught reading Nietzsche, he'd be twitted to death. Well, eidetic imagery (or photographic memory) really does exist. You can hold up an ordinary comb in front of a kid who ""has"" it, for a few seconds, then put the comb out of sight and the kid will be able to tell you the number of teeth in the comb, because the image in his mind is so clear that he can count them. But, like musical or mathematical genius, it shows up early, in young kids, then tends to fade. And again, it's independent of ordinary intelligence. For one individual, especially at the age of twenty-one, to have both singular geniuses at the same time, is so unlikely as to constitute an irritation for someone watching the flick. I mean, it's like drawing two straight flushes, one after the other. And then too, it makes me squirm when I watch a scene in which a shrink brings up the abuse his client suffered in childhood and then tells him over and over (and over), ""It's not your fault,"" until the client breaks into a cascade of fulsome sobs and the two of them hug one another like Esalen grads. Who ever claimed it was the client's fault in the first place? Why in God's name should the client blame himself for the brutality instead of the foster fathers who are the guilty parties here? (Hint: the script calls for it.) And there are shouted arguments between the academic mentor -- played in a most engaging way by Skarsgard -- and the humanistic shrink -- done devilishly by Robin Williams -- that seem to take place only because they add texture to the picture. Neither the mathematician or the shrink show the slightest evidence of being the shouting type. There's also a shouted argument between Will and his girl friend that isn't called for either, although a simple disagreement would have been plausible. I guess what I'm saying is that this is a commercial product. It could have come out of a course in screen writing taken through Phoenix University. Introduce interesting characters with idiosyncratic traits, pull the audience in, then tug at the plot and the heartstrings. Have a scene in which an emotionally distant person finally breaks down and cries. In the last half of the movie, when the interest may be dying down, pump it up with fights between people we like. This isn't meant as cynicism or a blanket condemnation of the talent involved in the production. Matt Damon is particularly good as a bragging roughnecked Southie. Contrast this performance with what he does in ""The Talented Mister Ripley."" When he and Williams have a quiet confrontation on a park bench, Damon gives the scene entirely to the shrink. Robin Williams does a fine imitation of Oliver Sacks. (Why does he choose so many other poor vehicles?) Van Sandt handles the direction competently, but see ""Drugstore Cowboys"" for a more personal Weltanschauung, in some ways just the opposite of the one presented here. It isn't nearly as heartwarming as ""Good Will Hunting,"" thank Bog.",6/10
Deewaar,Best Actor award,"One of my greatest films of alltime, the film has an eerie, grey feel about it. Amitabh who went on to amazing status really shines and portrays the character who is (based on Haji Mastan a notorious mumbai outlaw)isolated from society and family magnificantly, the role won him best actor 1975. A film richly layered in metaphor and meaning, with deeply powerful dialogues and symbolic significance. The camera work however makes the film look very dated which may put people off watching an old film, but if your not judging a book by the cover, based on sheer performances and script well worth a watch.",10/10
Apocalypse Now,"""What do you call it when the assassins accuse the assassin?""","Back during the Viet Nam War, a friend of mine from my home town returned from the war and described his first day in combat. He was dropped from a helicopter in the middle of a jungle clearing, while simultaneously realizing that the rifle fire coming his way was from enemies that wanted to kill him. I'm not sure how a sane person filters that type of insanity through any kind of rational prism. Perhaps that's what ""Apocalypse Now"" is meant to convey, as virtually every situation presented makes no sense in a rational world. The surreal takes center stage from beginning to end, with river surfing set to a napalm barrage and playboy bunnies appearing out of the night sky aboard a helicopter. For a generation of movie watchers born after the Viet Nam era, scenes like those might seem like the fevered nightmares of a troubled film maker, but for those who lived it, they were all too real. I guess that's why Viet vets referred to 'The World' as anyplace BUT Viet Nam; in today's experience, one might compare that war to a virtual reality video game, except that you could really die in it.I recall back in the day how Marlon Brando's presence in the film was highly regarded and anticipated, yet for all that he's in it for only a relatively short time. It's Martin Sheen's picture pretty much all the way, with a supporting cast that while watching today, surprised me with the likes of Sam Bottoms, Laurence Fishbourne, Harrison Ford and Dennis Hopper. Robert Duvall on the other hand, might have cemented his growing reputation here with his 'napalm smell of victory' declaration early in the picture. His portrayal of Big Duke Six Kilgore is the one I remember best from thirty years ago, even though he winds up merely a marginal character.Interestingly, if one were to remove the context of Viet Nam, the picture would still hold up amazingly well, given the universal oxymoron of military intelligence in a Catch 22 world. Captain Willard's thoughts and actions turn conventional thinking on it's head, while forcing the viewer to re-examine one's own ideas about good and evil, right and wrong, humanity and inhumanity. It's not a comfortable picture to watch, and one which defies the generally accepted definition of entertainment. Nevertheless it's almost certainly a must see picture that challenges one's perceptions about war and it's consequences.",10/10
Raging Bull,thing of beauty,"In 1964 New York, Jake La Motta (Robert De Niro) is an old overweight man preparing to perform. In 1941, Jake knocks out Jimmy Reeves but the bell saves him and Jake loses his first fight. Jake's brother Joey LaMotta (Joe Pesci) is in his corner. Back in the Bronx, he meets neighborhood girl Vickie (Cathy Moriarty) and he eventually marries her. He is a volatile man and is extremely jealous of any man who looks at her.Much of the praise has to be given to Martin Scorsese. His vision and his style is perfect. The black and white is beautiful. His cast is amazing. Joe Pesci is solid. It's amazing that he found the great Cathy Moriarty in her film debut. Then there is Robert De Niro. There are almost no words to describe his performance. He's lost in his animal intensity. There are no seams showing. He does not let up for one second. It's a thing of beauty.",10/10
Kahaani,A Nutshell Review: Kahaani,"The film begins in 2008, where we bear witness to an unnamed man whose identity is hidden behind a gas mask, experimenting with a lethal chemical gas on lab rats, before we get to the city of Kolkata where the same weapon of mass destruction got used in a terrorist attack on a subway train that unfortunately wasn't stopped in time. This almost stand-alone setup and prologue will keep you guessing its significance to its story, since the film continues two years later, where Balan's Mrs Vidya Bagchi arrives in the same Indian city from London in search of her husband Arnab (Abir Chatterjee), who as a software engineer worked at the National Data Centre and maintained daily contact until his sudden disappearance two weeks before, with the uncharacteristic cessation of contact prompting his wife to travel thousands of miles to look for him.Worried, the heavily pregnant Vidya heads straight to the local police to file a missing persons report, and from there starts to visit some of the regular joints her husband could have been in, including his hotel room which had absolutely no traces of the man, nor with people she encountered at those places having any recollection of having seen him, based on their hastily taken matrimonial photo. Assisted by policeman Rana (Parambrata Chaterjee), a slight, mild mannered cop, they soon stumble upon an investigative web filled with unanswered mysteries, and a bewildering suggestion that her husband may not be who he had claimed to be all along. The name Milan Damji gets floated about, a government agent in the mould of Jason Bourne, who may hold the key to Arnab's disappearance, again with clues that he may be more than meets the eye, and at this point your imagination will start to run wild as to the myriad of possibilities the story written by Sujoy Ghosh could turn out.Ghosh also takes on directing responsibilities, and he has crafted one heck of an engaging thriller amongst some of the best I've seen with scheming twists and carefully plotted turns involving government officials, beat cops, and Intelligence Bureau officers led by the non- compromising Khan (Nawazuddin Sidiqui), who epitomizes a no-nonsense approach with a willing streak to sacrifice pawns to nab the king. With Vijay pushing for the truth, a slew of bodies start turning up courtesy of a hired killer set loose to silence everyone she talks to, giving rise to that sense of danger and death at every wrong turn, it's a closely matched up cat and mouse game everyone seems to be playing against one another on both sides of the law, with Khan's questionable tactics giving rise to the propensity of collateral damage authorities are willing to suffer for the sake of the greater good.But Ghosh also remembered to balance his superb thriller with emotional anchors, and does this brilliantly through his crafting and development of the protagonists Vijay and Rana, whom we journey together in their search for facts and truth. They play off each other's strengths like Fox Mulder and Dana Scully, with Rana's unassuming disposition balancing Vijay's sprightly nature and relentless determination, making this one of the best cop- civilian pairing I have ever seen as well, being all natural and therefore believable. Credit has to go to Vidya Balan for her sensitive portrayal as a woman hell bent on tracking down her loved one and seeking closure to the sudden mysteries in her life, and Parambrata Chaterjee for his portrayal of a man taking it upon himself to help, and unwittingly finding himself being attracted to and infatuated with someone he has sworn to protect as well. It is this forbidden attraction and romance that's underlying and brewing that he brings out well without going over the top, exhibiting loads of sentimentalism that worked wonders for their chemistry with each other.Production values are top notch. I absolutely love the gorgeous city of Kolkata which I've seldom seen in Indian films, and here we weave in and out the crowded, bustling city area and into much laid back neighbourhoods, with a fantastic capture of very natural misc-en- scene being a lovely ode to the city, featuring its sights, sounds, people such as the working class from tea sellers to master craftsmen, and festivals. Production designers Kaushik Das and Subrata Barik ensured a very natural look and feel, while cinematographer Setu didn't impress me much with his shaky cam technique that had plagued too many Hollywood films he tried to emulate, but thankfully the second half of the film decided to ditch that misguided documentary feel for camera work that's more sustainable and traditional. The music by Clinton Cerejo and Shekhar Ravjiani worked extremely well in the background without bringing in too much attention to itself, nor do we have jarring breakaway musical interludes to blunt the storyline. Such is how everything worked together to complement everything else in the making of the film, to churn out a result that's worthwhile of repeat viewings for clues that one may have missed the first time round. It's filmmaking and storytelling at its best, and even I was more than glad to have decided to watch this instead of postponing it. Kahaani propels itself into my shortlist as one of the best this year, and it is certainly highly recommended if you're desperately looking for an intelligent story, great performances, a film that went the whole nine yards in its desire to become a classic.",10/10
The Bandit,The tragedy of Uncle Baran can be predicted at the beginning of the film,"The tragedy of Uncle Baran can be predicted at the beginning of the film, but the process is twists and turns. Like the awakening of Clint Eastwood in Unforgiven, Eskiya tells a similar story. A bully little rogue / newbie, and an uncle who has retired for many years, and his awakening are all related to the unexpected death of his friend. If Unforgiven is still in the western mode, the protagonist and the protagonist halo, the story of Uncle Baran of Eskiya seems even more sad. I think the evaluation of this movie should be similar to Unforgiven. If there is a need to find some gaps, I think there are two main points:
1. Turkish
2. Baran's actors are not handsome enough",8/10
Kireedam,Crowning glory of Malayalam cinema,"Beautiful portrayal of father son relationship by the mega stars Lalettan and Thilakan. Its so realistic and so believable that we care for the characters even after the movie climaxes. If I were to narrate the plot to you, you may not like it much. Its the screenplay and natural acting that made the film the blockbuster that it deserves to be. This movie when remade in other languages lost the essence as the heros were shown too heroic and righteous. Original is a masterpiece.",9/10
Hindi Medium,Much much better than the over-hyped Bahubali.,Hindi Medium is a situational comedy based on social issues. It's a family-oriented story of a couple who is determined that their three year- old daughter should study in an English medium school and they leave no stone unturned to achieve this goal. The acting by the lead male actor is the major plus point of this film. Have seen the male lead in various Hollywood films. The guy has amazing comic timings. The female lead was kinda OK. Overall a decent onne time watch but much better than the epic trash bahubali.,9/10
Padaiyappa,Padaiyappa,Excellent Movie. Everybody acted very well in the movie. Songs and BGM in the movie were excellent. The movie was not at all boring. This movie is one of the Best Movie of Rajinikanth and K. S. Ravikumar. Excellent Movie.,10/10
The Pianist,Over-rated story of survival,"I don't know what to say about this move other than it really didn't movie me. Sure Adrian Brody is excellent as the Pianist of the title who hides out in Warsaw as the city is destroyed around him, but I never really connected to the story. I never really cared. I'm not sure if its poor film making or simply the fact that for me this seemed as been there and done that. Many of the things that I dislike in the well financed movies concerning the Holocaust came into play, in particular the fact that everything looks so nice as to be unreal. I also have the sense that the film is insisting that I like and respect it simply because of the subject matter. Its not that simple you have to give me characters and a good story before I care. Unfortunately while Brody is an excellent actor however I never connected to him. I never had a reason to care other than what happened was truly remarkable, which means this movie meant nothing to me. This film is a major disappointment",4/10
Pulp Fiction,"""That was f----n' trippy""!","Quentin Tarantino may have broken the mold with ""Pulp Fiction"". Great actors in great performances, smart dialog, and an eclectic ensemble cast make this one of the rare gems in cinematic history. As a fan of non-linear story telling in movies, I found this one a unique challenge, as you get so absorbed in each of the vignettes that it's difficult to double back and figure out where the circle got broken. You'll have to watch this one more than once, and even so, it never gets boring, with mind blowing sequences like those at Jack Rabbit Slim's and Mia's hypo in the chest cure - Whoa!!! But don't take my word for it. You'll have to view the film with sufficient time set aside for liberal use of the re-wind button because it's so unlike anything you're likely to see short of another Tarantino flick.",10/10
Asuran,Little overrated,After vada Chennai this was good movie but nowhere near to vada Chennai,7/10
Pizza,"Probably, The best use of ""Deux Ex Machina"" ever done in thriller genre. Meet World's First horror-con-thriller ever.","Pizza (2012) :
Brief Review -Probably, The best use of ""Deux Ex Machina"" ever done in thriller genre. Meet World's First horror-con-thriller ever. I think i have given away too much in the first two lines only which might turn a big spoiler unless you don't think about it too much. So, first you should know what is ""Deux Ex Machina"". If you know it then it's great and if you don't then please go to Wikipedia and read about it there. That will save some copy-paste work for me in this BRIEF review. So, now you know what that term means basically and let me tell you it's not complex as you think. Actually, we all have been through it with many comedy films over the years but just didn't think that it could mean something intricate like this. So better leave it UNSOLVED and that's what it means here. Pizza is horror film but we all know that there's nothing like ghosts and all so we start finding solid reasons for it. Remember, Malayalam Classic 'Manichitrathazu'? Even that belongs to horror genre but as we all know it's not a real thing so we start finding logic into it. That film provides it by the perfect use of Psychological medical terms so while watching Pizza you also wish there would be something logical at the end to cover all the unrealistic loopes. It's a sign of an intelligent movie viewer who easily don't believe in spilled stuff and rather likes to wait for intriguing turnarounds. With Pizza, the same thing happens. They show you horror images because you are a smart movie buff, you don't believe it and wait for the suspense to get revealed. A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life. I am not spoiling anything here because i want you to watch the film without any speculations and i am sure it will blow you away. It's little predictable but still very hooked and surprising. Thanks to Team Pizza for trying something different and for me that's the best thing about it.RATING - 8/10*By - #samthebestest.",8/10
Ikiru,Ikiru,"From director Akira Kurosawa (Seven Samurai), I read a short description about this film after seeing it being featured in the book 1001 Movies You Must See Before You Die, it certainly sounded like a worthwhile watch. Basically set in post-war Tokyo, Japan, longtime bureaucrat Kanji Watanabe (BAFTA nominated Takashi Shimura) works in a city and spends his whole working life doing nothing at all, just like his other office colleagues. Then one day he goes to the doctors who tell him has a tumour, and after hearing about the consequences of terminal cancer, he is sure this is what he has, stomach cancer, and he is slowly dying. With this looming over him Watanabe wants to find some meaning in the time has left, less than a year, but he is unable to talk to his family, and is unfulfilled spending a night with a novelist. Next has a chance encounter with one of his female fellow office workers, and this encourages him to make a change in the office work ethic, but actually doing something and doing it efficiently. After having some happiness with this woman and making some difference to the bureaucracy, Watanabe does indeed die, and his fellow workers debate about what he did before his death and why, but they resolve to be like him. Also starring Nobuo Kaneko as Mitsuo Watanabe - Kanji's Son, Kyôko Seki as Kazue Watanabe - Mitsuo's Wife, Makoto Kobori as Kiichi Watanabe - Kanji's Brother and Kumeko Urabe as Tatsu Watanabe - Kiichi's Wife. Shimura gives a credible performance as the old man struggling to go on with any kind of regular life with the thought of death, but finding some resolution, and the story in many parts is indeed moving and certainly doesn't disappoint you with you how you feel for the lead character, certainly a must see foreign language drama. Very good!",8/10
Earth,Very intense film. Superb acting by the Dangal guy.,"The story is set in Lahore (now the capital of Pakistani Punjab) in the time period directly before and during the partition of India in 1947 at the time of Indian independence.A young girl with polio, Lenny (Maia Sethna), narrates the story through the voice of her adult self (Shabana Azmi). She is from a wealthy Parsi family who hope to remain neutral to the rising tensions between Hindus, Sikhs, and Muslims in the area. She is adored and protected by her parents, Bunty (Kitu Gidwani) and Rustom (Arif Zakaria), and cared for by her Ayah, a beautiful Hindu woman named Shanta (Nandita Das). Both Dil Navaz, the Ice-Candy Man (Aamir Khan), and Hassan, the Masseur (Rahul Khanna) are Muslim and in love with Shanta. Shanta, Dil, and Hassan are part of a small group of friends from different faiths (some of who work for Lenny's family) who spend their days together in the park. With partition, however, this once unified group of friends becomes divided and tragedy ensues.",10/10
Green Book,"A captivating watch, with sensational acting.","Not often these days so I give ten stars to a film, with Green Book however, I had no other choice, this film had me totally captivated.It's a fascinating story, I had no idea that it was based on true events, temporarily losing his job at a club, Tony Lip Vallelonga gets a job driving for Doctor Don Shirley. Shirley has a specific reason for touring in the deep south.It's one hell of a journey (I know it's a term that's easily bandied about in films, but it's appropriate here,) physically and emotionally, it's a battle of wills, ideas, concepts, each man learns something from the other. You see the true horror of what Shirley faced in day to day life, from buying a suit, to eating dinner.The acting, is simply outstanding, you couldn't put a pin between Viggo Mortensen and Mahershala Ali, the pair are unbelievable in this film, it's no wonder awards came flooding in.It looks sensational, they brought 1962 to life, and the music throughout is spot on.I laughed, I sobbed, I connected, a cinematic triumph, Green Book is an incredible film. 10/10.",10/10
Wild Tales,Creepily effective black comedy,"If you've been feeling a mite cocky about where your life is headed of late, you might want to take a gander at ""Wild Tales"" for a much needed reality check. This omnibus Spanish feature, sharply written and directed by Damian Szifron, offers a series of very dark, very disturbing and sometimes very humorous vignettes, all centered on chance (and not so chance) encounters that go awry in unexpected and often tragic ways. The movie makes it clear that, while you may think you have control over your life, in the grand scheme of things, you're really just a pawn subject to the whims of other individuals, a soulless bureaucracy or, most chillingly, a cruel and mocking Fate. However, in two of the cases, the participants do manage to wrest control back from the outside forces and determine the course of their lives - to some extent, at least.As is often the case with these kinds of morality tales, most of the scenarios rely heavily on situational irony to get their points across. I won't detail the various stories (you really need to experience them for yourself), but I will note that the first one, involving an airliner, comes uncomfortably close to an actual event that occurred after the movie was released. Segments one and three contain the most visceral impact, while others cut deeper psychologically. Even the tones vary from one storyline to another. For instance, the final story, about a wedding that turns into a surrealistic nightmare, is shot through with pitch-dark humor. Replete with sharp performances from a talented cast, the movie touches on such universal human themes as revenge, road rage, class privilege, all tied to the sense of powerlessness one feels when confronted with forces bigger than oneself. In its own subtle, quiet way, the movie has a remarkable ability to keep the audience on the edge of its seat, filled with a kind of gnawing dread as we await the catastrophe we sense is just over the horizon. As with all the best horror tales, Szifron understands that the anticipation is often more terrifying than the actual event when it finally arrives. The movie as a whole has a way of unnerving us while it drives home some unpleasant and uncomfortable truths about what it means to be human.",8/10
Border,Another stupid Indian war film,"Border is about a small military confrontation between India and Pakistan. The facts have been mutilated and heroes have been made larger then life. It was the Indian air force that made a real difference to the outcome. In the movie it is a handful of soldiers that do the job. Even the cook has to take up arms. Apart from an incorrect plot there is hopeless acting and stupid stunts. Take for example a soldier who carries an anti tank mine to a tank after being shot around 20 times all over the body. You can count on more such scenes in the movie. The movie was a big hit in India and the director won acclaims for his direction. Every major characters has a love life and the romance side of their stories makes the movie agonizingly long. Aside from all this junk the movie has some brilliant songs exploring the soldiers life far from his family. ""Sandeshe aaten hain"" is about soldiers waiting for a message from home, letters ask them . ""Jaaten hue lamhon"" is about a soldier asking the time to stop because he wants to spend a little more time with his newly wed wife.",5/10
Poove Unakkaga,A classic love movie for a 90s kids,A extraordinary performance of thalapathy vijay and the way the movie is its a ever green hit movie with a good story line and the other co actor have done there acting very well.. A good family entertainer movie.,10/10
Maqbool,Good one but loved Omkara more,"Performances by everybody was epic and only Naseeruddin Shah and Om Puri were a bit irritating...Direction at its best, and the dialogues are easy to understand that makes it unique from what Omkara was in terms of accent and set up...One time watch fare if u want to see performances and dialogues in place of execution...Recommended!!",8/10
The Brawler,"It's not Gangs of Wasseypur, but Bombay Velvet neither.","The movie starts with a quote 'Inspired by true events'. This is where people who come for content find their head held high. It is also because of the person who has directed the movie - Anurag Kashyap. A person who keeps art to its minimum and reality to its maximum, which itself is an art.For me when I watched the movie, the other two movies that went through my mind were 'Saala Khadoos' and 'Brothers'. There's a saying movies run because of three factors, 3x entertainment.This is where the movie falls as unees bis.The ending could have been anything just like reality, so no comments on that one.Acting: Vineet Singh acted really well, so did other actors.I am comparing it with Gangs of Wasseypur, mostly because I don't think it would get that crowd. The other comparison is of cinema.Final Verdict: Worth adding to your dvd collection.",8/10
The Prestige,Imperfect but fascinating,"As said in my review for his masterpiece 'Memento', Christopher Nolan has always struck me as a very talented film-maker, and most of his films are ones that have impressed me a lot. Even weaker efforts, where his ambition can get in the way, have a good deal to admire. His films are all impeccably crafted technically, and often entertaining and thought-provoking, also knowing how to get good performances out of talented casts.'The Prestige' is not quite perfect, but is still very good and one of Nolan's better films. To me actually it was close to outstanding, which makes my issues with the denouement even more frustrating. And it is the denouement that's 'The Prestige's' biggest problem, being over-baked and with one twist too many, the second of which being a convoluted cop-out and like the other twists before the denouement didn't happen.Was also, to a lesser extent, expecting more from David Julyan's music score, having done such a great job with the score for 'Memento'. His score for 'The Prestige' works within the film and has a mystical and dread quality, but it is not one of those scores that is listenable or even re-listenable as music on its own, lacking the cleverness and mood and thematic complexities of his work for 'Memento' and being somewhat too simplistic to be entirely memorable.However, 'The Prestige' looks wonderful. The cinematography is slick and the production values in general are suitably gritty and audacious, complete with gorgeously evocative Victorian period production and costume design. Once again, Nolan directs impeccably, not letting his ambition get in the way of the storytelling, while the script is smart, thought-provoking and intricate without trying too hard and treating the audience with respect. The pacing is taut while deliberate, and while the film is long there is enough to keep one riveted.The story for 'The Prestige' is quite the fascinating tale, with an incredible period and darkly magical atmosphere and twists and turns peppered throughout but done in a way that the storytelling is coherent and taken with sincere seriousness while not coming across as emotionally cold.Fine acting all round, with a charmingly flamboyant Hugh Jackman and intensely charismatic Christian Bale perfectly cast and playing off against other wonderfully. Michael Caine brings class and dignity to his role, and seeing how he altered his voice and posture for it it was clear he was right in the zone. Rebecca Hall, Piper Perabo and Scarlett Johansson also do well, as does surprisingly David Bowie in an unlikely role. Andy Serkis is similarly memorable.Overall, imperfect film but also a fascinating one, flaws and all it is for me one of Nolan's better films. 8/10 Bethany Cox.",8/10
